Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,Dropoff ID,Pickup ID,Booking ID,Actual Pickup Time
48.992168,11.377365,49.031608,11.461872,33,0,269491,2024-09-30 08:30:00
49.03815,11.451488,49.031608,11.461872,33,15,262405,2024-09-16 12:30:00
49.03815,11.451488,49.031608,11.461872,33,15,262882,2024-09-17 12:19:00
48.992498,11.363953,49.031608,11.461872,33,1,267522,2024-09-27 05:52:00
48.997518,11.482948,49.031608,11.461872,33,39,259386,2024-09-12 06:30:00
49.002445,11.390002,49.031608,11.461872,33,3,257209,2024-09-07 14:43:00
49.019003,11.520783,49.033832,11.471982,19,55,255716,2024-09-04 14:08:00
48.994215,11.461103,49.033832,11.471982,19,40,247604,2024-09-02 08:55:00
48.994215,11.461103,49.033832,11.471982,19,40,255521,2024-09-04 13:06:00
48.994215,11.461103,49.033832,11.471982,19,40,256965,2024-09-06 20:27:00
48.994215,11.461103,49.033832,11.471982,19,40,262568,2024-09-16 15:45:00
48.994215,11.461103,49.033832,11.471982,19,40,262981,2024-09-17 17:22:00
48.994215,11.461103,49.033832,11.471982,19,40,267778,2024-09-26 09:32:00
48.994215,11.461103,49.033832,11.471982,19,40,269596,2024-09-30 09:24:00
48.976207,11.491877,49.033832,11.471982,19,46,263578,2024-09-18 12:47:00
48.976207,11.491877,49.033832,11.471982,19,46,260504,2024-09-19 16:21:00
48.976207,11.491877,49.033832,11.471982,19,46,262762,2024-09-19 17:08:00
49.010337,11.502283,49.033832,11.471982,19,38,255128,2024-09-03 13:49:00
49.010337,11.502283,49.033832,11.471982,19,38,258491,2024-09-09 16:50:00
49.010337,11.502283,49.033832,11.471982,19,38,259319,2024-09-11 08:16:00
49.010337,11.502283,49.033832,11.471982,19,38,259516,2024-09-11 13:47:00
49.010337,11.502283,49.033832,11.471982,19,38,262332,2024-09-16 13:19:00
49.010337,11.502283,49.033832,11.471982,19,38,266182,2024-09-23 09:49:00
49.010337,11.502283,49.033832,11.471982,19,38,266352,2024-09-23 13:14:00
49.010337,11.502283,49.033832,11.471982,19,38,268088,2024-09-27 08:39:00
48.976827,11.559612,49.033832,11.471982,19,50,265006,2024-09-21 17:05:00
48.992168,11.377365,49.033832,11.471982,19,0,255153,2024-09-03 12:36:00
48.992168,11.377365,49.033832,11.471982,19,0,255259,2024-09-03 14:48:00
48.992168,11.377365,49.033832,11.471982,19,0,255942,2024-09-04 19:39:00
48.992168,11.377365,49.033832,11.471982,19,0,256419,2024-09-05 19:32:00
48.992168,11.377365,49.033832,11.471982,19,0,256366,2024-09-05 20:41:00
48.992168,11.377365,49.033832,11.471982,19,0,257018,2024-09-06 20:42:00
48.992168,11.377365,49.033832,11.471982,19,0,257368,2024-09-07 16:27:00
48.992168,11.377365,49.033832,11.471982,19,0,257367,2024-09-07 21:33:00
48.992168,11.377365,49.033832,11.471982,19,0,257661,2024-09-08 13:04:00
48.992168,11.377365,49.033832,11.471982,19,0,258335,2024-09-09 12:37:00
48.992168,11.377365,49.033832,11.471982,19,0,257719,2024-09-10 08:26:00
48.992168,11.377365,49.033832,11.471982,19,0,258972,2024-09-10 14:46:00
48.992168,11.377365,49.033832,11.471982,19,0,259104,2024-09-10 19:29:00
48.992168,11.377365,49.033832,11.471982,19,0,259591,2024-09-11 12:49:00
48.992168,11.377365,49.033832,11.471982,19,0,259628,2024-09-11 14:22:00
48.992168,11.377365,49.033832,11.471982,19,0,259995,2024-09-12 10:49:00
48.992168,11.377365,49.033832,11.471982,19,0,260740,2024-09-13 14:53:00
48.992168,11.377365,49.033832,11.471982,19,0,261414,2024-09-14 18:46:00
48.992168,11.377365,49.033832,11.471982,19,0,261510,2024-09-14 18:46:00
48.992168,11.377365,49.033832,11.471982,19,0,261566,2024-09-14 21:30:00
48.992168,11.377365,49.033832,11.471982,19,0,261200,2024-09-15 08:19:00
48.992168,11.377365,49.033832,11.471982,19,0,262676,2024-09-16 16:59:00
48.992168,11.377365,49.033832,11.471982,19,0,262700,2024-09-16 19:14:00
48.992168,11.377365,49.033832,11.471982,19,0,262975,2024-09-17 16:33:00
48.992168,11.377365,49.033832,11.471982,19,0,263100,2024-09-17 16:33:00
48.992168,11.377365,49.033832,11.471982,19,0,263522,2024-09-19 08:38:00
48.992168,11.377365,49.033832,11.471982,19,0,264078,2024-09-19 10:33:00
48.992168,11.377365,49.033832,11.471982,19,0,264311,2024-09-19 15:07:00
48.992168,11.377365,49.033832,11.471982,19,0,263373,2024-09-19 16:56:00
48.992168,11.377365,49.033832,11.471982,19,0,264376,2024-09-19 20:48:00
48.992168,11.377365,49.033832,11.471982,19,0,265868,2024-09-22 19:03:00
48.992168,11.377365,49.033832,11.471982,19,0,266144,2024-09-23 16:27:00
48.992168,11.377365,49.033832,11.471982,19,0,266428,2024-09-23 20:26:00
48.992168,11.377365,49.033832,11.471982,19,0,266720,2024-09-24 08:27:00
48.992168,11.377365,49.033832,11.471982,19,0,266717,2024-09-24 16:53:00
48.992168,11.377365,49.033832,11.471982,19,0,267297,2024-09-25 08:23:00
48.992168,11.377365,49.033832,11.471982,19,0,267497,2024-09-25 16:36:00
48.992168,11.377365,49.033832,11.471982,19,0,267550,2024-09-26 21:57:00
48.992168,11.377365,49.033832,11.471982,19,0,268829,2024-09-27 21:24:00
48.992168,11.377365,49.033832,11.471982,19,0,268238,2024-09-27 22:28:00
48.992168,11.377365,49.033832,11.471982,19,0,268648,2024-09-27 22:28:00
48.992168,11.377365,49.033832,11.471982,19,0,269245,2024-09-28 16:30:00
48.992168,11.377365,49.033832,11.471982,19,0,269068,2024-09-28 20:53:00
48.992168,11.377365,49.033832,11.471982,19,0,269467,2024-09-29 10:51:00
48.992168,11.377365,49.033832,11.471982,19,0,270178,2024-09-30 12:46:00
48.992168,11.377365,49.033832,11.471982,19,0,270342,2024-09-30 17:20:00
48.998413,11.530053,49.033832,11.471982,19,53,258011,2024-09-11 06:00:00
48.998413,11.530053,49.033832,11.471982,19,53,258012,2024-09-12 06:00:00
48.998413,11.530053,49.033832,11.471982,19,53,258013,2024-09-13 06:01:00
48.998413,11.530053,49.033832,11.471982,19,53,260653,2024-09-13 07:26:00
48.998413,11.530053,49.033832,11.471982,19,53,262076,2024-09-16 05:57:00
48.998413,11.530053,49.033832,11.471982,19,53,262081,2024-09-18 06:00:00
48.998413,11.530053,49.033832,11.471982,19,53,262080,2024-09-20 05:57:00
48.998413,11.530053,49.033832,11.471982,19,53,267421,2024-09-25 09:49:00
49.03815,11.451488,49.033832,11.471982,19,15,251521,2024-09-03 05:25:00
49.03815,11.451488,49.033832,11.471982,19,15,254935,2024-09-03 11:51:00
49.03815,11.451488,49.033832,11.471982,19,15,251524,2024-09-05 05:29:00
49.03815,11.451488,49.033832,11.471982,19,15,256496,2024-09-06 05:34:00
49.03815,11.451488,49.033832,11.471982,19,15,260481,2024-09-13 15:17:00
49.03815,11.451488,49.033832,11.471982,19,15,262111,2024-09-16 12:30:00
49.03815,11.451488,49.033832,11.471982,19,15,263671,2024-09-18 12:13:00
49.03815,11.451488,49.033832,11.471982,19,15,264053,2024-09-19 11:52:00
49.03815,11.451488,49.033832,11.471982,19,15,264505,2024-09-20 12:19:00
49.017505,11.404733,49.033832,11.471982,19,8,255594,2024-09-04 14:27:00
49.017505,11.404733,49.033832,11.471982,19,8,256662,2024-09-06 14:18:00
49.017505,11.404733,49.033832,11.471982,19,8,255035,2024-09-09 14:26:00
49.017505,11.404733,49.033832,11.471982,19,8,258829,2024-09-10 14:17:00
49.017505,11.404733,49.033832,11.471982,19,8,258214,2024-09-10 16:02:00
49.017505,11.404733,49.033832,11.471982,19,8,262963,2024-09-17 14:21:00
49.017505,11.404733,49.033832,11.471982,19,8,264617,2024-09-23 14:19:00
49.017505,11.404733,49.033832,11.471982,19,8,266369,2024-09-26 14:36:00
49.017505,11.404733,49.033832,11.471982,19,8,268476,2024-09-27 14:29:00
49.000562,11.38279,49.033832,11.471982,19,4,262491,2024-09-19 07:34:00
49.000562,11.38279,49.033832,11.471982,19,4,264232,2024-09-20 07:35:00
49.000562,11.38279,49.033832,11.471982,19,4,264728,2024-09-24 07:27:00
49.000562,11.38279,49.033832,11.471982,19,4,267062,2024-09-25 07:28:00
49.000562,11.38279,49.033832,11.471982,19,4,267888,2024-09-26 07:22:00
49.000562,11.38279,49.033832,11.471982,19,4,268337,2024-09-27 07:34:00
49.048472,11.431715,49.033832,11.471982,19,67,260035,2024-09-14 11:09:00
49.058008,11.516585,49.033832,11.471982,19,59,262179,2024-09-16 16:26:00
49.054378,11.463912,49.033832,11.471982,19,62,258171,2024-09-09 17:48:00
49.054378,11.463912,49.033832,11.471982,19,62,260650,2024-09-13 13:22:00
49.054378,11.463912,49.033832,11.471982,19,62,261989,2024-09-16 18:14:00
49.054378,11.463912,49.033832,11.471982,19,62,265726,2024-09-23 18:20:00
48.97066,11.475578,49.033832,11.471982,19,41,254514,2024-09-02 16:13:00
48.97066,11.475578,49.033832,11.471982,19,41,255177,2024-09-03 15:48:00
48.97066,11.475578,49.033832,11.471982,19,41,256121,2024-09-05 17:17:00
49.016552,11.413603,49.033832,11.471982,19,7,254155,2024-09-02 14:26:00
49.000012,11.38727,49.033832,11.471982,19,5,256512,2024-09-05 20:02:00
49.000012,11.38727,49.033832,11.471982,19,5,259676,2024-09-12 14:49:00
49.005142,11.445253,49.033832,11.471982,19,10,257435,2024-09-07 20:17:00
49.005142,11.445253,49.033832,11.471982,19,10,268668,2024-09-27 18:01:00
49.005142,11.445253,49.033832,11.471982,19,10,268701,2024-09-27 20:40:00
48.992112,11.434157,49.033832,11.471982,19,9,259215,2024-09-16 06:20:00
48.992112,11.434157,49.033832,11.471982,19,9,265559,2024-09-23 06:11:00
48.992112,11.434157,49.033832,11.471982,19,9,267953,2024-09-27 06:00:00
48.992112,11.434157,49.033832,11.471982,19,9,269595,2024-09-30 05:55:00
49.015158,11.408473,49.033832,11.471982,19,6,259437,2024-09-12 14:56:00
49.015158,11.408473,49.033832,11.471982,19,6,261146,2024-09-14 08:40:00
49.017245,11.444688,49.033832,11.471982,19,12,262478,2024-09-17 15:01:00
48.970778,11.476563,49.033832,11.471982,19,42,257569,2024-09-09 11:14:00
48.970778,11.476563,49.033832,11.471982,19,42,257845,2024-09-10 10:28:00
48.970778,11.476563,49.033832,11.471982,19,42,260301,2024-09-14 11:25:00
48.970778,11.476563,49.033832,11.471982,19,42,261163,2024-09-15 10:16:00
48.970778,11.476563,49.033832,11.471982,19,42,261723,2024-09-16 09:57:00
48.970778,11.476563,49.033832,11.471982,19,42,261725,2024-09-17 09:10:00
49.013632,11.497563,49.033832,11.471982,19,37,262789,2024-09-17 16:26:00
49.019003,11.520783,48.994215,11.461103,40,55,255067,2024-09-04 17:48:00
49.019003,11.520783,48.994215,11.461103,40,55,264480,2024-09-22 18:24:00
49.036378,11.470632,48.994215,11.461103,40,30,247605,2024-09-02 12:45:00
49.036378,11.470632,48.994215,11.461103,40,30,247607,2024-09-03 10:22:00
49.036378,11.470632,48.994215,11.461103,40,30,255738,2024-09-04 15:18:00
49.036378,11.470632,48.994215,11.461103,40,30,258079,2024-09-09 21:01:00
49.036378,11.470632,48.994215,11.461103,40,30,247609,2024-09-12 10:52:00
49.036378,11.470632,48.994215,11.461103,40,30,259262,2024-09-12 15:27:00
49.036378,11.470632,48.994215,11.461103,40,30,260358,2024-09-12 21:29:00
49.036378,11.470632,48.994215,11.461103,40,30,260723,2024-09-13 17:25:00
49.036378,11.470632,48.994215,11.461103,40,30,261991,2024-09-15 19:38:00
49.036378,11.470632,48.994215,11.461103,40,30,262220,2024-09-17 14:12:00
49.036378,11.470632,48.994215,11.461103,40,30,263216,2024-09-19 15:34:00
49.036378,11.470632,48.994215,11.461103,40,30,264756,2024-09-20 15:47:00
49.036378,11.470632,48.994215,11.461103,40,30,264811,2024-09-20 17:02:00
49.036378,11.470632,48.994215,11.461103,40,30,262991,2024-09-23 19:46:00
49.036378,11.470632,48.994215,11.461103,40,30,262995,2024-09-24 19:38:00
