,Actual Pickup Time,Booking ID,Pickup ID,Dropoff ID,Actual Dropoff Time,Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,name,district,Passenger status,Rounded Pickup Time,Pickup Date,Pickup Hour
49,2024-09-01 18:47:00,253371,0,66,2024-09-01 18:59:00,48.992168,11.377365,49.043035,11.412738,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 18:00:00,2024-09-01,18
50,2024-09-01 19:10:00,253843,0,27,2024-09-01 19:27:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 19:00:00,2024-09-01,19
51,2024-09-01 19:18:00,254019,0,35,2024-09-01 19:53:00,48.992168,11.377365,49.027045,11.473085,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 19:00:00,2024-09-01,19
52,2024-09-01 19:30:00,254135,36,40,2024-09-01 19:37:00,49.013625,11.502735,48.994215,11.461103,"Paulushofen, Am Haar",Paulushofen,Trip completed,2024-09-01 19:00:00,2024-09-01,19
53,2024-09-01 19:51:00,253887,30,10,2024-09-01 19:55:00,49.036378,11.470632,49.005142,11.445253,"Beilngries, Frauenkirche",Beilngries,Trip completed,2024-09-01 19:00:00,2024-09-01,19
54,2024-09-01 20:22:00,253851,0,27,2024-09-01 20:33:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Trip completed,2024-09-01 20:00:00,2024-09-01,20
55,2024-09-01 20:15:00,253897,0,27,2024-09-01 20:29:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 20:00:00,2024-09-01,20
56,2024-09-01 20:22:00,254146,0,19,2024-09-01 20:27:00,48.992168,11.377365,49.033832,11.471982,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 20:00:00,2024-09-01,20
57,2024-09-02 05:16:00,253501,22,8,2024-09-02 05:28:00,49.032928,11.479163,49.017505,11.404733,"Beilngries, Kelheimer Straße",Beilngries,Trip completed,2024-09-02 05:00:00,2024-09-02,5
58,2024-09-02 05:18:00,254159,31,8,2024-09-02 05:30:00,49.035227,11.467885,49.017505,11.404733,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,Cancelled,2024-09-02 05:00:00,2024-09-02,5
59,2024-09-02 05:23:00,241741,67,8,2024-09-02 05:28:00,49.048472,11.431715,49.017505,11.404733,Kaldorf,Wiesenhofen,Trip completed,2024-09-02 05:00:00,2024-09-02,5
60,2024-09-02 05:35:00,243194,1,8,2024-09-02 05:43:00,48.992498,11.363953,49.017505,11.404733,"Enkering, Maibaum",Enkering,Trip completed,2024-09-02 05:00:00,2024-09-02,5
61,2024-09-02 05:57:00,254390,27,0,2024-09-02 06:12:00,49.041112,11.47124,48.992168,11.377365,"Beilngries, Hafen",Beilngries,Cancelled,2024-09-02 05:00:00,2024-09-02,5
62,2024-09-02 06:03:00,244944,59,8,2024-09-02 06:20:00,49.058008,11.516585,49.017505,11.404733,"Kevenhuell, Kirche",Leising,Cancelled,2024-09-02 06:00:00,2024-09-02,6
